FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FS_H1hesc_protection_mean	FS_H1hesc_protection_median	FS_H1hesc_protection_std	FS_K562_protection_mean	FS_K562_protection_median	FS_K562_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_H1hesc_tc_mean	FS_H1hesc_tc_median	FS_H1hesc_tc_std	FS_K562_tc_mean	FS_K562_tc_median	FS_K562_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_H1hesc_fos_mean	FS_H1hesc_fos_median	FS_H1hesc_fos_std	FS_K562_fos_mean	FS_K562_fos_median	FS_K562_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_H1hesc_flr_mean	FS_H1hesc_flr_median	FS_H1hesc_flr_std	FS_K562_flr_mean	FS_K562_flr_median	FS_K562_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
STAT3	-0.2035441402	10.0107785	9.8072343598	0.0705044536748	0.0611359558082	0.0375257117038	0.152967726894	0.132555759249	0.0836359597005	0.0545168252269	-300.0	0.65488791648	0.666353396964	0.016169400957	0.703771119924	0.710832230815	0.0606799736768	0.176005974979	-300.0	0.480984472182	0.480962134726	0.00119999596014	0.481480167325	0.481458536171	0.00167864357694	0.00556971242434	-300.0	0.290787334543	0.282756303219	0.0987902526424	0.281781783161	0.281188825999	0.0250404046644	-0.056812570753	-104.27628456
HOXA5	-0.2024921587	3.5496091111	3.3471169524	0.0208629959795	0.0176099985481	0.0127517278624	0.0317092572977	0.026694676811	0.0205556909251	0.238393992045	-300.0	0.744990500862	0.750091408362	0.0454765064322	0.684764630785	0.695651414999	0.0228407008308	-0.0261825839374	-300.0	0.629787386301	0.62977596512	0.00126006716106	0.630454325393	0.630437993107	0.0017950569588	0.0104632317791	-300.0	0.326926945728	0.325936535421	0.0327511977423	0.332484212497	0.326869901819	0.0901660216803	0.0352031708567	-44.4115355146
SREBF2	-0.1732940608	9.1103612778	8.9370672169	0.0318501855351	0.0266222365825	0.0168209323137	0.0523250476185	0.0435999675712	0.029951970447	0.182780436011	-300.0	0.633810185346	0.639169821217	0.0264685672582	0.66879394319	0.68291814664	0.0586310123213	0.055740913387	-300.0	0.513502753753	0.513503145742	0.00148775422433	0.514278308348	0.514315399955	0.00197528005083	0.0101409402327	-300.0	0.305437258124	0.305454380816	0.0244037411788	0.312351360868	0.306483134706	0.0754535349302	0.0339576031946	-38.1866493774
HOXA9	-0.1727359074	3.0796356111	2.9068997037	0.0143243411141	0.0116221081096	0.00839001388284	0.024603813805	0.0195498308726	0.0147431779312	0.0475361631687	-300.0	0.671909315516	0.685145465481	0.0629498685944	0.515984246033	0.524289837998	0.0233500597826	-0.220731164741	-300.0	0.595300944725	0.595277251479	0.000878939078301	0.596228006267	0.596224894444	0.000975554034363	0.00213685482574	-300.0	0.295404095855	0.295409913365	0.0190675511755	0.299146003009	0.296445356828	0.0547842250373	0.0395321665076	-31.2512420757
FOSL2	-0.1563748122	5.7409766111	5.5846017989	0.0133108298416	0.0112790982571	0.00748759967592	0.0249665967488	0.0204339785039	0.0147447045303	0.0768407315436	-300.0	0.782433993424	0.789523000991	0.0461867533955	0.679691078574	0.687587765769	0.0167552961167	-0.232776852929	-300.0	0.601115063383	0.601117526564	0.00158957896995	0.602177395734	0.602253259952	0.00388272803972	0.0112608438852	-300.0	0.264807304393	0.262526281736	0.068242979235	0.261147979972	0.261076064263	0.0282841296897	-0.000530621556606	-99.1459752949
TCF12	-0.1484424405	8.6383393611	8.4898969206	0.0586742311481	0.0518153789709	0.0176816973775	0.0810341006286	0.0698126057543	0.0301652446498	0.170194475284	-300.0	0.745296828448	0.750702422301	0.0437838226251	0.687971296072	0.698573702726	0.0226202632005	-0.036353084332	-300.0	0.622103219555	0.622058903541	0.00139264983922	0.623369324073	0.623323927084	0.00179028602488	0.0061736885441	-300.0	0.318007977516	0.317569919174	0.0310166320422	0.325213583458	0.319262415744	0.0946371766796	0.00814090330789	-87.1389691494
SOX10	-0.1468324868	5.24596	5.0991275132	0.01734371783	0.0144855993809	0.00920195351758	0.0275624894122	0.0230609748768	0.01547815802	0.212066449117	-300.0	0.678539708402	0.692926010849	0.0261808113639	0.709219219104	0.716225829903	0.0517999051601	0.374767665934	-300.0	0.564829746749	0.564785103904	0.00121919459263	0.565968764623	0.565950190213	0.00198024543723	0.010676203138	-300.0	0.331322616208	0.330684360074	0.036952426463	0.342515548099	0.333216260746	0.112980978203	0.0119960463153	-67.5736079738
FOXP2	-0.1347974762	2.351259	2.2164615238	0.00935172259436	0.00764257174722	0.00768580719715	0.0180450674545	0.0137430892457	0.0135063147124	0.103206606363	-300.0	0.683508749528	0.693177320973	0.0483149383379	0.641356033801	0.648169108296	0.0194613984212	-0.053709360606	-300.0	0.484754741495	0.484752983773	0.000506037292359	0.485874370916	0.485859077434	0.00109931569773	0.00183694820986	-300.0	0.326167195233	0.323892046681	0.0236778216789	0.326334510487	0.325915091785	0.0654699867272	0.0212706666127	-72.8701334509
ATOH1	-0.1075542619	4.6970676111	4.5895133492	0.0135019205221	0.0117548527315	0.00715823785373	0.025595987059	0.020676436051	0.0147456653686	0.0458294663509	-300.0	0.67599154325	0.684811897729	0.0160628277089	0.695653644077	0.703522141546	0.0535638137723	0.404409000504	-300.0	0.582468071043	0.582455782321	0.00105155770717	0.584078730536	0.584073508229	0.00217015608144	0.00431448348871	-300.0	0.288002109497	0.287142153133	0.0667973522586	0.287632263781	0.285916241168	0.0237766836796	-0.00620872281094	-77.7412897636
PPARG	-0.1072274577	2.7755172778	2.6682898201	0.0111822420283	0.00943859733684	0.00764543802737	0.0201614352549	0.0174939308814	0.0129340179541	0.198387925658	-300.0	0.771083023062	0.774822087911	0.042084161519	0.689899185182	0.699286698283	0.021297466272	-0.192590236507	-300.0	0.613814322286	0.61376136198	0.00132955008436	0.615435171752	0.61546968692	0.00215246468356	0.0131798339019	-300.0	0.258404265945	0.258282319723	0.0293786181498	0.261793429224	0.258817324224	0.0724999643298	0.0227036859375	-49.3339038508
