FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES	MOTIF_RAW	PWM_JASPAR_RAW	PWM_UNIPROBE_RAW	PWM_TRANSFAC_RAW	MOTIF_FB	HITS_FB	PWM_JASPAR_FB	PWM_UNIPROBE_FB	PWM_TRANSFAC_FB	CHIP_USED	PWM_USED	
SP2 (SC-643)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	SP2	MA0516.1	NA	NA	NFY	341	NA	NA	V$NFY_01	LAB_MH	MA0516.1	
SRF (SC-335)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	SRF	MA0083.2	UP00077.1	V$SRF_01	SRF	281	MA0083.2	UP00077.1	V$SRF_01	LAB_MH	MA0083.2	
STAT1 (SC-345)	NA	NP	NP	NA	NA	NA	NA	NA	NA	NP	STAT1	MA0137.3	NA	V$STAT1_01	STAT1	486	MA0137.3	NA	V$STAT1_01	LAB_SS	MA0137.3	
STAT2 (SC-476X)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NP	STAT2:STAT1	MA0517.1	NA	V$STAT_01	STAT2	218	MA0517.1	NA	V$STAT_01	LAB_SY	MA0517.1	
STAT5A (SC-74442)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	STAT5A:STAT5B	MA0519.1	NA	V$STAT5A_01	NA	NA	NA	NA	NA	LAB_MH	MA0519.1	
TAF1 (SC-735)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	YY1	172	MA0095	NA	V$YY1_01	RAW=NA / FB=CRITERIA		
TAF7 (SC-101167)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NO_MATCH	NA	NA	NA	NA	RAW=NA / FB=NA		
TAL1 (SC-12984)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	TAL1:GATA1	MA0140.2	NA	V$TAL1_Q6	GATA1-ext	431	MA0140.2	NA	V$GATA1_01	LAB_SS	MA0140.2	
TBLR1 (AB24550)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
TBLR1_(NB600-270)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
TBP (AB62126)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	TBP	MA0108.2	UP00029.1	V$TBP_01	A-Box	276	NA	NA	NA	LAB_SS	MA0108.2	
TEAD4 (SC-101184)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
TFIIIC-110 (4286)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP	NA	NA	NA	NA	B-Box	404	NA	NA	NA	RAW=NA / FB=NA		
THAP1 (SC-98174)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	THAP1	MA0597.1	NA	NA	UA4	201	NA	NA	NA	LAB_MH	MA0597.1	
TR4	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP	NR2C2	MA0504.1	NA	NA	GABP	185	MA0062	UP00408	V$GABP_B	LAB_FU	MA0504.1	
TRIM28 (SC-81411)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
UBF (SC-13125)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
UBTF (SAB1404509)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
USF1 (SC-229)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	USF1	MA0093.2	NA	V$USF_01	USF	498	MA0093.2	NA	V$USF_01	LAB_MH	MA0093.2	
USF2 (AB60931)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	USF2	MA0526.1	NA	V$USF2_Q6	USF	496	MA0093.2	NA	V$USF_01	LAB_SS	MA0526.1	
YY1 (SC-1703)	BP	NA	NA	NA	NA	NP	NA	NA	NA	NP	YY1	MA0095.2	NA	V$YY1_01	YY1	465	MA0095.2	NA	V$YY1_01	LAB_FU	MA0095.2	
YY1 (SC-281)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	YY1	MA0095.2	NA	V$YY1_01	YY1	478	MA0095.2	NA	V$YY1_01	REPEAT		
ZBTB33 (SC-23871)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	ZBTB33	MA0527.1	NA	NA	UA1	492	NA	NA	NA	LAB_MH	MA0527.1	
ZBTB7A (SC-34508)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	ZBTB7B	NA	UP00047.1	NA	UA3	500	NA	NA	NA	LAB_MH	UP00047.1	
ZNF143 (16618-1-AP)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	ZNF143	MA0088.1	NA	V$STAF_01	ZNF143-ext	458	MA0088.1	NA	V$STAF_01	LAB_SS	MA0088.1	
ZNF263 (H00010127-A01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP	ZNF263	MA0528.1	NA	NA	ZNF263	419	MA0528.1	NA	NA	LAB_FU	MA0528.1	
ZNF274 (H00010782-A01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP	NA	NA	NA	NA	UA10	212	NA	NA	NA	RAW=NA / FB=CRITERIA		
ZNF274 (H00010782-M01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP	NA	NA	NA	NA	UA10	212	NA	NA	NA	RAW=NA / FB=CRITERIA		
CBP (SC-369)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CBX2 (A302-524A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CBX8 (A300-882A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CDP (SC-6327)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	CDP	NA	NA	V$CDP_01	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CEBPD (SC-636)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	CEBPD	NA	NA	V$CEBPDELTA_Q6	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CHD4/MI2 (A301-081A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CHD7 (A301-223A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
CREB1 (SC-240)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	CREB1	MA0018	NA	V$CREB_Q2	NA	NA	NA	NA	NA	NO STANDARD PEAK		
GATA1 (SC-266)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	GATA1	MA0035	NA	V$GATA1_01	NA	NA	NA	NA	NA	NO STANDARD PEAK		
HCFC1_(NB100-68209)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
LSD1/KDM1A (A300-215A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
NCOR (A301-145A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
NR4A1 (EGFP-NR4A1)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
NSD2 (AB75359)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO STANDARD PEAK		
